Academic Year,University,Source of Salary Funding,Staff Grade,Mode of Employment,Staff No. (Headcount)
2013/14,The Chinese University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,94
2013/14,The Chinese University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,5
2013/14,The Chinese University of Hong Kong,Partially Funded by General Funds,Junior Academic Staff,Full-time,58
2013/14,The Chinese University of Hong Kong,Partially Funded by General Funds,Junior Academic Staff,Short-term,7
2013/14,The Chinese University of Hong Kong,Partially Funded by General Funds,Senior Academic Staff,Full-time,12
2013/14,The Chinese University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Full-time,318
2013/14,The Chinese University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Short-term,117
2013/14,The Chinese University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,410
2013/14,The Chinese University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,25
2013/14,The Chinese University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,81
2013/14,The Chinese University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,1166
2013/14,The Chinese University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,1
2013/14,The Chinese University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,3
2013/14,The Chinese University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Full-time,580
2013/14,The Chinese University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Part-time,22
2013/14,The Chinese University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Short-term,128
2013/14,The Chinese University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Full-time,267
2013/14,The Chinese University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Part-time,3
2013/14,The Chinese University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Full-time,160
2013/14,The Chinese University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Short-term,31
2013/14,The Chinese University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Full-time,111
2013/14,The Chinese University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Part-time,17
2013/14,The Chinese University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Short-term,93
2013/14,The Chinese University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,588
2013/14,The Chinese University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,11
2013/14,The Chinese University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,11
2013/14,The Chinese University of Hong Kong,Wholly self-financed,Junior Academic Staff,Full-time,52
2013/14,The Chinese University of Hong Kong,Wholly self-financed,Junior Academic Staff,Part-time,22
2013/14,The Chinese University of Hong Kong,Wholly self-financed,Junior Academic Staff,Short-term,165
2013/14,The Chinese University of Hong Kong,Wholly self-financed,Senior Academic Staff,Full-time,7
2013/14,The Chinese University of Hong Kong,Wholly self-financed,Technical Research Staff,Full-time,531
2013/14,The Chinese University of Hong Kong,Wholly self-financed,Technical Research Staff,Part-time,1
2013/14,The Chinese University of Hong Kong,Wholly self-financed,Technical Research Staff,Short-term,73
2013/14,The Education University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,2
2013/14,The Education University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Full-time,23
2013/14,The Education University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Part-time,1
2013/14,The Education University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Short-term,12
2013/14,The Education University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,99
2013/14,The Education University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,59
2013/14,The Education University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,77
2013/14,The Education University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,117
2013/14,The Education University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,2
2013/14,The Education University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,7
2013/14,The Education University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Full-time,226
2013/14,The Education University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Short-term,1
2013/14,The Education University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Full-time,100
2013/14,The Education University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Part-time,3
2013/14,The Education University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Full-time,38
2013/14,The Education University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Part-time,15
2013/14,The Education University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Short-term,51
2013/14,The Education University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Full-time,19
2013/14,The Education University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,62
2013/14,The Education University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,3
2013/14,The Education University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,2
2013/14,The Education University of Hong Kong,Wholly self-financed,Junior Academic Staff,Full-time,2
2013/14,The Education University of Hong Kong,Wholly self-financed,Senior Academic Staff,Part-time,1
2013/14,The Education University of Hong Kong,Wholly self-financed,Technical Research Staff,Full-time,56
2013/14,The Education University of Hong Kong,Wholly self-financed,Technical Research Staff,Part-time,2
2013/14,The Education University of Hong Kong,Wholly self-financed,Technical Research Staff,Short-term,10
2013/14,The Hong Kong Polytechnic University,Partially Funded by General Funds,Academic Supporting Staff,Full-time,13
2013/14,The Hong Kong Polytechnic University,Partially Funded by General Funds,Academic Supporting Staff,Short-term,1
2013/14,The Hong Kong Polytechnic University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,13
2013/14,The Hong Kong Polytechnic University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,2
2013/14,The Hong Kong Polytechnic University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,2
2013/14,The Hong Kong Polytechnic University,Partially Funded by General Funds,Junior Academic Staff,Full-time,13
2013/14,The Hong Kong Polytechnic University,Partially Funded by General Funds,Junior Academic Staff,Short-term,9
2013/14,The Hong Kong Polytechnic University,Partially Funded by General Funds,Senior Academic Staff,Full-time,8
2013/14,The Hong Kong Polytechnic University,Partially Funded by General Funds,Senior Academic Staff,Short-term,1
2013/14,The Hong Kong Polytechnic University,Partially Funded by General Funds,Technical Research Staff,Full-time,70
2013/14,The Hong Kong Polytechnic University,Partially Funded by General Funds,Technical Research Staff,Part-time,8
2013/14,The Hong Kong Polytechnic University,Partially Funded by General Funds,Technical Research Staff,Short-term,160
2013/14,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,360
2013/14,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,7
2013/14,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,15
2013/14,The Hong Kong Polytechnic University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,665
2013/14,The Hong Kong Polytechnic University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,8
2013/14,The Hong Kong Polytechnic University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,10
2013/14,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Junior Academic Staff,Full-time,397
2013/14,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Junior Academic Staff,Part-time,20
2013/14,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Junior Academic Staff,Short-term,135
2013/14,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Senior Academic Staff,Full-time,420
2013/14,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Senior Academic Staff,Part-time,3
2013/14,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Senior Academic Staff,Short-term,5
2013/14,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Technical Research Staff,Full-time,109
2013/14,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Technical Research Staff,Part-time,19
2013/14,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Technical Research Staff,Short-term,183
2013/14,The Hong Kong Polytechnic University,Wholly self-financed,Academic Supporting Staff,Full-time,60
2013/14,The Hong Kong Polytechnic University,Wholly self-financed,Academic Supporting Staff,Part-time,10
2013/14,The Hong Kong Polytechnic University,Wholly self-financed,Academic Supporting Staff,Short-term,24
2013/14,The Hong Kong Polytechnic University,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,221
2013/14,The Hong Kong Polytechnic University,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,9
2013/14,The Hong Kong Polytechnic University,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,81
2013/14,The Hong Kong Polytechnic University,Wholly self-financed,Junior Academic Staff,Full-time,37
2013/14,The Hong Kong Polytechnic University,Wholly self-financed,Junior Academic Staff,Part-time,3
2013/14,The Hong Kong Polytechnic University,Wholly self-financed,Junior Academic Staff,Short-term,144
2013/14,The Hong Kong Polytechnic University,Wholly self-financed,Senior Academic Staff,Full-time,31
2013/14,The Hong Kong Polytechnic University,Wholly self-financed,Senior Academic Staff,Short-term,9
2013/14,The Hong Kong Polytechnic University,Wholly self-financed,Technical Research Staff,Full-time,243
2013/14,The Hong Kong Polytechnic University,Wholly self-financed,Technical Research Staff,Part-time,37
