Academic Year,University,Source of Salary Funding,Staff Grade,Mode of Employment,Staff No. (Headcount)
2010/11,City University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,53
2010/11,City University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Full-time,126
2010/11,City University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Part-time,5
2010/11,City University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Short-term,208
2010/11,City University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,223
2010/11,City University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,3
2010/11,City University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,264
2010/11,City University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,448
2010/11,City University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,30
2010/11,City University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,274
2010/11,City University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Full-time,426
2010/11,City University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Short-term,21
